flag,label,prevalence_pct,plausible_share_pct,cms_form_increment,incremental_cost,increment_over_cost
FAC010,Other aftercare encounter,0.5997168423475775,45.005900665159835,3223.152376388991,7177.271322456912,0.44907768308884927
DIG001,Intestinal infection,0.5905069933770584,42.789841914996906,3217.0019459596574,5370.560124801588,0.599006783501657
MBD014,Neurodevelopmental disorders,3.3140440389284382,41.4885370161204,2989.8432758918966,4693.393029542666,0.6370323680698083
GEN004,Urinary tract infections,2.4059003501440417,40.03676069085042,2643.3432764112367,4729.2043666150585,0.5589403780203344
CIR011,Coronary atherosclerosis and other heart disease,2.31403023399514,44.3332715869813,2527.196449154534,5995.978534492631,0.4214819040155855
MUS006,Osteoarthritis,5.30578857555224,40.21626637410809,2490.482748779032,4884.324825962972,0.5098929406866424
SKN002,Other specified inflammatory condition of skin,2.549398185806482,40.95343226575176,2444.5363048731415,3655.1363268412792,0.6687948372600585
INJ042,"Fracture of lower limb (except hip), subsequent encounter",0.7923971392351643,44.26811001144528,2418.8694489184018,4016.630162202887,0.6022136346234559
NVS012,Transient cerebral ischemia,1.0049072772194099,41.92973565865042,2286.2194408672185,5932.523513789628,0.3853704811372602
NVS019,Nervous system pain and pain syndromes,1.0796593925240647,41.85498354334576,2248.3469187904816,7244.967793050897,0.31033221720419685
CIR017,Cardiac dysrhythmias,1.9221976967967729,44.72510412417967,2197.373433317155,4493.506047592524,0.48901089929420194
MUS033,Gout,1.115073224987947,44.40698172467238,2189.5315748527437,5178.068155449651,0.42284719109932417
RSP002,Pneumonia (except that caused by tuberculosis),0.8770058593725073,46.76790149663334,2166.517324787418,5856.370011588679,0.36994201536109894
PRG029,"Uncomplicated pregnancy, delivery or puerperium",1.3803787175175506,39.74003117438479,2159.4877641066196,3254.5337924588766,0.6635321375707934
DIG025,Other specified and unspecified gastrointestinal disorders,1.8292274042383816,41.55112150413559,2075.4410009123803,5848.033572638362,0.3548955345644566
END011,Fluid and electrolyte disorders,1.0569571342678874,45.92465564126878,2040.1907163973062,6407.456294578932,0.31840883848453594
MUS011,Spondylopathies/spondyloarthropathy (including infective),3.9334578682063652,41.58859708145396,2029.3405646592773,4079.393327178744,0.497461362977407
EYE008,Oculofacial plastics and orbital conditions,0.978759789885282,42.103209890553714,1943.5464878026403,4147.58017910485,0.4685976892246856
DIG019,Other specified and unspecified liver disease,0.45554140213911515,42.92480750623485,1924.8033622958699,6690.695384127561,0.28768360413808564
SYM006,Abdominal pain and other digestive/abdomen signs and symptoms,2.056458750346182,42.52245982368053,1868.447450088242,4045.123143963401,0.46190125333429083
NVS017,Nerve and nerve root disorders,1.0775340723811955,41.857108863488634,1803.1389064540879,5306.025384199774,0.33982854884627123
INJ067,"Allergic reactions, subsequent encounter",2.4515254380499067,42.60898171263054,1792.9624954366632,3680.366057948863,0.48716960954582733
EAR004,Hearing loss,0.9730876390217006,41.47012151071319,1711.6404889371895,4090.1833557315103,0.41847524672425607
END001,Thyroid disorders,6.206687798421159,40.77492497711551,1587.214034219981,3115.728045717953,0.5094199528746872
NEO072,Neoplasms of unspecified nature or uncertain behavior,0.7422259568633071,40.908076199979845,1423.2201437805484,2770.340487021881,0.5137347378229712
CIR009,Acute myocardial infarction,1.2449104929981807,45.40239132797826,1395.3582873470416,4869.208281959678,0.2865677963534271
FAC025,Other specified status,1.1555588359747926,44.45005867153263,1363.699470975365,4453.644555027953,0.30619854236814054
FAC013,Contraceptive and procreative management,2.0264832662965837,43.57913424121083,1284.573413870701,2684.1820709124236,0.47857163930539215
SYM004,Nausea and vomiting,1.0461709033517996,43.5327476706749,1250.536891670552,5742.013414006963,0.2177871769891751
MBD013,Miscellaneous mental and behavioral disorders/conditions,0.8285088559835434,43.97407219906529,1200.3089283503714,3187.032076736787,0.37662279495453704
