flag,label,prevalence_pct,plausible_share_pct,incremental_cost,increment_cms,rank_cms,increment_cms_pen_1,rank_cms_pen_1,increment_cms_cap_pen_dro_1,rank_cms_cap_pen_dro_1,increment_cms_robust_adv,rank_cms_robust_adv,increment_over_cost_cms
GEN017,Nonmalignant breast conditions,0.6351551815012206,21.28253729261426,0.0,998.9976855294182,98,1930.3187993743945,65,1913.7415180727603,84,1903.2929323103422,89,
INJ031,Allergic reactions,4.083063719160359,40.97744343152009,0.0,995.4320398447333,99,1926.6976594731937,69,1911.0611279146601,85,1901.047957975896,91,
NVS010,Headache; including migraine,2.578972870694481,39.049399168548824,1732.9868013387306,994.930050218186,100,1926.1878570902797,70,1910.6837690367872,86,1900.7318991390364,92,0.574112883865938
DIG002,Disorders of teeth and gingiva,1.93888993336311,41.44145897501085,0.0,992.5438611986363,101,1923.764530423916,73,1908.8900076457323,87,1899.2295252130357,93,
DIG010,Abdominal hernia,0.642511653619569,36.28067329007951,0.0,976.5901265006083,102,1907.5624984788067,80,1896.8971633613971,94,1889.184858350782,101,
INJ041,"Fracture of the upper limb, subsequent encounter",0.8060856839995103,42.898142138030124,1192.0391528800812,967.9397028377049,103,1898.7774432439078,83,1979.2366877264944,56,2014.3369287434825,51,0.8120032806800594
INJ049,"Open wounds to limbs, subsequent encounter",0.5072261893972292,42.04198107601206,0.0,966.2932692744266,104,1897.105385278005,86,1889.156743474203,97,1882.7018299944696,103,
CIR012,Nonspecific chest pain,0.6738813917285145,43.823216023394615,2893.0271851293087,961.2282455709477,105,1768.606676845297,118,1794.0412044977697,122,1803.0373292262577,122,0.3322569004922724
FAC003,"Encounter for observation and examination for conditions ruled out (excludes infectious disease, neoplasm, mental disorders)",1.4294495508022962,39.354230673169155,74.442292697625,956.7284011012316,106,1887.3916535013304,91,1881.966579116292,100,1876.6796714683403,105,12.851947010650774
FAC008,Neoplasm-related encounters,1.0387139857376488,37.060867721189325,0.0,950.693790706944,107,1881.263122957531,93,1877.4302028918419,102,1872.8802066163648,108,
END007,Nutritional deficiencies,1.8866454661122245,45.09496730942445,3245.0438117246827,950.3843899230635,108,1768.5488892458043,119,1792.4393265201893,123,1801.695668223767,123,0.2928725912695617
SYM012,Circulatory signs and symptoms,1.4476511330558002,43.1312674409709,1982.7089357324967,945.4777616790699,109,1875.9659138377956,96,1873.509175928694,106,1869.5961306506572,111,0.47686160315294607
SYM015,General sensation/perception signs and symptoms,0.9233032054878694,36.215641751311054,2757.0036253573476,943.4535932440798,110,1873.9102420927945,99,1871.987554985035,108,1868.3216893328713,112,0.34220252181271416
RSP006,Other specified upper respiratory infections,4.203842999207322,43.441064356798535,0.0,940.0968236146692,111,1870.5012291063351,100,1869.4641824816122,110,1866.208225929302,113,
SYM002,Fever,0.7112434224939805,33.501982352382214,0.0,938.4406015209476,112,1868.8192302654004,101,1868.2191565333787,111,1865.165448148964,114,
RSP007,Other specified and unspecified upper respiratory disease,3.583215375986913,44.06169198001895,1199.3759086319558,935.8023023875144,113,1866.1398697488987,102,1866.235877302424,112,1863.5043425975662,115,0.7802410367362794
SYM011,Genitourinary signs and symptoms,0.6778185857048078,27.137067452157183,2798.182584253806,932.0620981400468,114,1862.3414545287944,103,1863.424266856311,113,1875.1130994485475,106,0.33309552542605103
END010,Disorders of lipid metabolism,14.048986917394721,27.533799007575443,0.0,931.6993375045199,115,1861.9730480383644,104,1863.1515700930324,114,1860.921065493781,116,
RSP003,Influenza,2.2311385276419364,45.413768828363914,1493.6062621936017,927.5090701871908,116,1857.717564977575,106,1860.0016352036614,115,1858.2828215946822,117,0.6209863293054182
RSP001,Sinusitis,2.2693424222185934,45.37556493378727,0.0,925.4866857901608,117,1855.6637052139265,108,1858.4813554998102,116,1857.0095036390812,118,
MUS025,Other specified connective tissue disease,2.498982286715387,39.6512306354872,2062.4022272855864,863.0869579617561,118,1792.2928141480925,115,1905.7194220921956,89,1940.1991973044965,65,0.418486242180654
MUS007,Other specified joint disorders,1.180050481868057,42.075083839307624,1561.1336394533996,859.0416175125736,119,1788.1845137139244,116,1964.1045864996559,63,1945.3936902199662,62,0.5502678283284896
MUS038,Low back pain,2.2760545485041193,37.68427738495782,1200.6514173846365,848.675705948872,120,1777.6572714428073,117,1800.7405106130216,121,1808.6483669484664,121,0.706846045122348
MUS009,Tendon and synovial disorders,1.0397826230746043,37.412134624889916,1052.044260340648,837.6293540492504,121,1766.4389987472787,120,1854.9112873478116,117,1851.5213954032752,120,0.7961921238732191
MUS028,Other specified bone disease and musculoskeletal deformities,0.8098088827086782,31.878126600393912,1589.4896813823752,829.6502187002333,122,1758.3356794765177,121,1786.4385487009472,124,1796.6696864090682,124,0.5219601161416088
CIR030,Aortic and peripheral arterial embolism or thrombosis,0.7180953628368092,33.27824873945742,2527.695535320331,791.5584694277109,123,1719.6511397351096,123,2004.6440664200913,48,2108.181614885832,39,0.3131541985049231
CIR015,Other and ill-defined heart disease,0.5945872874604771,33.48113035949214,2098.148727210805,789.2643891008441,124,1717.3213003692058,124,1825.6002390038282,119,1890.334151975458,100,0.37617180272537715
