key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
cms_cap,"CMS form, cost-capped",capped,Uninsured all year,1212.4573447293735,1705.654007762176,-18.62302526631221,1993.730908247742,508.7855764458113,2454.1504205873543,1.0593965692593252
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Income below 200% FPL,7.303149543559569,893.3500232456751,-1649.3068775698514,784.0320819173934,-543.3591776658894,1602.607032693675,1.008260009284519
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Hispanic,231.2815934907747,926.487873980385,-1521.5934366907097,1364.7894940809958,-458.54226504150347,2014.5552122459824,0.9878507084953483
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Non-Hispanic Black,-121.14305897336835,622.366387799906,-1435.9323899727792,1055.654884844745,-472.1403996632899,1770.7370197485727,0.9887487690426221
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Non-Hispanic Asian,772.0402027786108,1222.9060531625175,-469.40495072981804,1726.4532351269374,-259.5068470795559,2105.0573513754007,0.9833793128866196
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Needs ADL or IADL help,-12136.789449806094,-9686.506116427061,-23587.377486165555,-5938.480102121484,-19996.94713082381,-3589.1120188378495,0.9289895751614001
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Mental health condition,-207.0008203173214,1226.6080118539282,-1954.525996072818,1520.9781634898698,-261.42748502201124,2847.1151091352363,1.027773378224796
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Age 65 and over,-14.212567069857036,1364.5131398709107,-2742.8958349922245,2157.6368308497636,-1007.182810283139,3601.600239684136,1.058676899288003
cms_pen_0.5,"CMS form, coding-penalized (lambda=0.5)",penalized,Uninsured all year,1167.4416051192088,1495.9888820649974,-14.330129519089548,1959.1032157962427,355.50063924001364,2333.1550525080756,1.0300158047793297
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Income below 200% FPL,-29.514263292420143,854.026977094297,-1677.7436104949743,759.7888899972592,-524.466698155644,1569.2401771486927,1.0067663070164699
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Hispanic,255.1332559564193,939.1335166140311,-1497.5031474178577,1391.1961222462976,-430.035216611151,2034.8518896266955,0.987241338672197
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Non-Hispanic Black,-121.66760251385514,599.7589027554457,-1441.6595919151462,1056.2869156936702,-524.413052007865,1826.7911048941808,0.9900171597347233
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Non-Hispanic Asian,830.4518454660097,1273.1393648359722,-406.8768154012995,1784.7109137089683,-177.78151515473667,2182.891318702652,0.9866151597113716
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Needs ADL or IADL help,-12451.505117575212,-10108.600981742256,-23847.874720164484,-6278.138468565268,-20239.862735467617,-4057.181326682136,0.9251058272669935
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Mental health condition,-383.9176961621088,1010.6476935150296,-2118.8792068981898,1330.2507935870058,-528.2203125015773,2548.367899404691,1.0226019989604684
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Age 65 and over,-13.55523808504436,1346.2097515138462,-2743.3442553338264,2133.3567761658596,-953.0396713698889,3409.799492673994,1.0615544096161793
cms_pen_1,"CMS form, coding-penalized (lambda=1)",penalized,Uninsured all year,1233.0219266272732,1561.29096408401,36.79065947913991,2027.9781980633686,392.46162941423967,2402.918102759858,1.0300806926858666
